tk,sector,art_center,year,q_raw,q_eff,q_bwd,n,n_high,q_raw_sn,q_eff_sn,q_bwd_sn,q_combined,fwd_ret
AZN,hardware,1,2012,0.27013450878917666,0.03426791277258567,0.6735402338297902,321,11,-0.8017586783702109,-0.4825385112018417,-0.6882036045703568,-0.6575002647141365,0.33171434472556593
AZN,hardware,1,2013,0.2922467533179692,0.019305019305019305,0.7437897208179719,259,5,-0.5769730720648019,-0.5383062794859353,-0.5644528431540389,-0.5599107315682587,0.235511228009045
AZN,hardware,1,2014,0.2757653059596394,0.041666666666666664,0.6631081558206197,192,8,-0.7296767618800651,-0.46043985521209824,-0.6877782813847095,-0.6259649661589576,0.005118105469805068
AZN,hardware,1,2015,0.2688519400956274,0.050724637681159424,0.6098914705043031,138,7,-0.8928376320522649,-0.4396553785482346,-0.8411033445045671,-0.7245321183683555,-0.15815270973805806
AZN,hardware,1,2016,0.2822597664822866,0.0660377358490566,0.6741639982158171,106,7,-0.7665354487903628,-0.39944846928438227,-0.7041438902813056,-0.6233759361186836,0.33241674260083265
AZN,hardware,1,2017,0.23930853973793728,0.03409090909090909,0.5133139211170451,88,3,-1.145989198101508,-0.5400920499262448,-0.9536698729047355,-0.8799170403108295,0.13862684670189607
AZN,hardware,1,2018,0.19210864980234188,0.013157894736842105,0.291223822247076,76,1,-1.5715235439088917,-0.6488714368240166,-1.2690954306851012,-1.1631634704726699,0.35679341248367424
RDY,hardware,1,2003,0.29561410205704824,0.0,0.4906684971244632,7,0,-0.33159867124759984,-0.6411886023523827,-0.8228830503820509,-0.5985567746606778,-0.36944978601028056
RDY,hardware,1,2004,0.27393641609411973,0.0,0.4755749980032641,10,0,-0.5099438121510006,-0.6133560543636078,-0.8318009284884089,-0.6517002650010058,0.09634986020117697
RDY,hardware,1,2005,0.25234513120217755,0.0,0.3406662208767825,15,0,-0.8186630848955315,-0.6426748935914969,-1.122336050211917,-0.8612246762329819,0.6914971046878573
RDY,hardware,1,2006,0.19871324446143174,0.0,0.22351466187342758,15,0,-1.2294645522097827,-0.709195967299978,-1.3135338688662845,-1.0840647961253485,0.0033731777872365587
RDY,hardware,1,2007,0.18993020870468832,0.0,0.1929370279567075,21,0,-1.4578288160122534,-0.7042927091313104,-1.4990626883484919,-1.2203947378306852,-0.4569231298943005
RDY,hardware,1,2008,0.18108442931805016,0.0,0.17067602052525627,23,0,-1.704235820473639,-0.7742755874316264,-1.658005914440352,-1.378839107448539,1.4894460353777124
RDY,hardware,1,2009,0.17580756254620472,0.0,0.16082338141350194,25,0,-1.7102797550461921,-0.8302262123964225,-1.5791059876447262,-1.3732039850291136,0.5385919252387765
RDY,hardware,1,2010,0.2011434688675599,0.0,0.268604141344457,25,0,-1.5502003754407543,-0.8302094660607248,-1.4507690249821368,-1.2770596221612054,-0.1826974393369939
RDY,hardware,1,2011,0.19550533044141727,0.0,0.29714037001794846,34,0,-1.5238951832559302,-0.855399520537115,-1.3209322722730128,-1.2334089920220193,0.14043597806713826
RDY,hardware,1,2012,0.20930194098880325,0.0,0.32793099539526727,32,0,-1.3075464063702726,-0.7293617836350201,-1.2034640396086322,-1.080124076537975,0.24124530010596312
RDY,hardware,1,2013,0.2368599520094933,0.0,0.38615151710800205,31,0,-1.0677459393336302,-0.655122378137722,-1.1463249796316104,-0.9563977657009876,0.23797029531141667
RDY,hardware,1,2014,0.24177224040031434,0.0,0.3768953107568469,18,0,-1.0259389605277527,-0.6821887982583932,-1.1459834272740277,-0.9513703953533912,-0.0775914760706814
RDY,hardware,1,2015,0.27817142529017996,0.0,0.6665116738044423,24,0,-0.8039597008883977,-0.721968620967254,-0.7405625859565579,-0.7554969692707365,-0.016368664360856933
RDY,hardware,1,2016,0.23471598762474702,0.0,0.43779644256533906,31,0,-1.2221872624684058,-0.7787528308459173,-1.1263581828532137,-1.0424327587225124,-0.16430148495628827
RDY,hardware,1,2017,0.26099961668809996,0.022727272727272728,0.5685934030415314,44,1,-0.9507058639157726,-0.6040701715554565,-0.8632636665184575,-0.8060132339965622,0.012588438878562869
